"","tfs","tfs_zulu","px","pz","pitch_type","count","inning_side.x","inning.x","p_throws","b_height","stand","zone","id"
"1","233304","2017-09-22T23:33:04Z",-1.0378483347093,3.47234547299583,"FT","2-2","top",2,"R","5-10","L",11,92
"2","235401","2017-09-22T23:54:01Z",-1.10018788408426,2.36143840343406,"FT","0-0","top",3,"R","6-5","L",13,159
"3","235446","2017-09-22T23:54:46Z",-0.707308096364294,1.38825451214787,"CH","2-1","top",3,"R","5-10","L",13,162
"4","235446","2017-09-22T23:54:46Z",-0.707308096364294,1.38825451214787,"CH","2-1","top",3,"R","5-10","L",13,162
"5","235945","2017-09-22T23:59:45Z",-0.715689051146173,2.13722593279959,"CU","1-2","top",3,"R","6-4","R",13,181
"6","001243","2017-09-23T00:12:43Z",-0.108787892166662,1.75543059279964,"CU","1-2","top",4,"R","5-9","R",8,222
"7","003201","2017-09-23T00:32:01Z",-0.206770267748753,2.97173546314549,"FF","1-1","bottom",4,"R","6-1","L",5,287
"8","021115","2017-09-23T02:11:15Z",-0.616269767525597,3.15095781831625,"FF","0-1","top",9,"L","6-1","R",1,623
"9","020511","2017-09-23T02:05:11Z",NA,NA,NA,"0-0","top",9,"L","6-4","R",NA,627
"10","021256","2017-09-23T02:12:56Z",-0.443204983755548,1.96773843049432,"FF","0-0","bottom",9,"R","6-5","L",7,645
"11","021256","2017-09-23T02:12:56Z",-0.443204983755548,1.96773843049432,"FF","0-0","bottom",9,"R","6-3","R",7,645
"12","021256","2017-09-23T02:12:56Z",-0.443204983755548,1.96773843049432,"FF","0-0","bottom",9,"R","5-10","L",7,645
"13","021256","2017-09-23T02:12:56Z",-1.15885507251673,2.59881480957496,"FF","0-0","bottom",9,"R","6-5","L",11,649
"14","021256","2017-09-23T02:12:56Z",-1.15885507251673,2.59881480957496,"FF","0-0","bottom",9,"R","6-3","R",11,649
"15","021256","2017-09-23T02:12:56Z",-1.15885507251673,2.59881480957496,"FF","0-0","bottom",9,"R","5-10","L",11,649
"16","021256","2017-09-23T02:12:56Z",-0.956964115606783,1.62699341538401,"FF","1-1","bottom",9,"R","6-5","L",13,651
"17","021256","2017-09-23T02:12:56Z",-0.956964115606783,1.62699341538401,"FF","1-1","bottom",9,"R","6-3","R",13,651
"18","021256","2017-09-23T02:12:56Z",-0.956964115606783,1.62699341538401,"FF","1-1","bottom",9,"R","5-10","L",13,651
"19","021256","2017-09-23T02:12:56Z",-0.531524165805394,2.91417958071327,"FF","2-2","bottom",9,"R","6-5","L",1,653
"20","021256","2017-09-23T02:12:56Z",-0.531524165805394,2.91417958071327,"FF","2-2","bottom",9,"R","6-3","R",1,653
"21","021256","2017-09-23T02:12:56Z",-0.531524165805394,2.91417958071327,"FF","2-2","bottom",9,"R","5-10","L",1,653
"22","021256","2017-09-23T02:12:56Z",0.0676510800130366,2.69213751458367,"SL","0-0","bottom",9,"R","6-5","L",5,657
"23","021256","2017-09-23T02:12:56Z",0.0676510800130366,2.69213751458367,"SL","0-0","bottom",9,"R","6-3","R",5,657
"24","021256","2017-09-23T02:12:56Z",0.0676510800130366,2.69213751458367,"SL","0-0","bottom",9,"R","5-10","L",5,657
"25","233904","2017-09-22T23:39:04Z",-0.733494461062415,3.34848500354541,"FF","3-2","bottom",2,"L","5-10","R",11,117
"26","000652","2017-09-23T00:06:52Z",-0.30690167187622,2.38391363038059,"KC","1-1","bottom",3,"R","6-0","L",4,216
"27","003202","2017-09-23T00:32:02Z",-0.0688428242694249,1.10606364555769,"SI","0-0","top",5,"L","5-10","R",13,314
